score,moves,green_apples,red_apples
3,9,0,0
3,1,0,0
4,4,1,0
2,11,0,1
3,1,0,0
3,6,0,0
3,1,0,0
3,3,0,0
2,6,0,1
3,2,0,0
3,4,0,0
2,7,0,1
3,2,0,0
3,7,0,0
3,18,0,0
3,5,0,0
4,3,1,0
3,5,0,0
3,10,0,0
3,13,0,0
3,9,0,0
3,12,0,0
3,4,0,0
5,7,2,0
3,1,0,0
3,5,0,0
3,5,0,0
3,4,0,0
3,4,0,0
3,2,0,0
4,2,1,0
3,2,0,0
2,3,0,1
3,2,0,0
3,1,0,0
3,1,0,0
3,6,0,0
3,1,0,0
4,12,1,0
3,8,0,0
3,8,0,0
3,1,0,0
3,8,0,0
4,4,1,0
3,1,0,0
3,2,0,0
3,2,0,0
3,1,0,0
3,3,0,0
3,1,0,0
3,1,0,0
3,2,0,0
3,8,0,0
3,7,0,0
4,6,1,0
3,1,0,0
3,2,0,0
4,8,1,0
3,2,0,0
3,3,0,0
4,3,1,0
3,6,0,0
3,7,0,0
4,3,1,0
3,1,0,0
3,9,0,0
3,1,0,0
3,3,0,0
3,4,0,0
4,17,1,0
3,2,0,0
3,1,0,0
3,1,0,0
3,4,0,0
3,6,0,0
3,3,0,0
6,14,3,0
3,2,0,0
3,2,0,0
3,5,1,1
3,1,0,0
3,4,0,0
4,3,1,0
3,4,0,0
3,4,0,0
3,7,0,0
3,1,0,0
4,4,1,0
4,10,1,0
3,15,0,0
3,2,0,0
3,4,0,0
3,6,0,0
4,9,1,0
4,5,1,0
4,4,1,0
4,7,1,0
3,1,0,0
3,8,0,0
3,4,0,0
3,3,0,0
3,1,0,0
3,3,0,0
2,8,0,1
3,3,0,0
3,5,0,0
3,6,0,0
3,4,0,0
3,12,0,0
3,2,0,0
3,4,0,0
3,10,0,0
3,3,0,0
4,4,1,0
4,8,1,0
4,7,1,0
5,12,2,0
3,7,1,1
3,2,0,0
3,4,0,0
4,5,1,0
3,4,0,0
3,2,0,0
3,7,0,0
3,1,0,0
3,1,0,0
3,7,1,1
3,2,0,0
4,12,1,0
4,3,1,0
3,10,0,0
3,4,0,0
3,6,0,0
3,12,0,0
4,9,1,0
3,1,0,0
3,1,0,0
3,15,1,1
3,5,0,0
3,3,0,0
6,19,3,0
5,20,3,1
3,2,0,0
3,7,0,0
3,5,0,0
3,4,0,0
3,8,0,0
3,10,0,0
3,5,0,0
4,5,1,0
3,4,0,0
4,3,1,0
5,9,2,0
3,1,0,0
3,2,0,0
3,1,0,0
3,15,0,0
3,3,0,0
3,13,0,0
3,9,0,0
4,8,1,0
5,28,2,0
4,3,1,0
3,3,0,0
4,6,1,0
3,11,0,0
3,9,0,0
3,18,0,0
3,8,0,0
3,25,0,0
3,11,0,0
3,5,0,0
3,6,0,0
3,4,0,0
3,1,0,0
3,3,0,0
3,8,0,0
4,22,1,0
3,7,0,0
7,31,4,0
3,6,0,0
5,15,2,0
3,19,0,0
3,15,0,0
6,23,3,0
4,10,1,0
3,10,0,0
4,5,1,0
3,18,0,0
6,32,3,0
3,2,0,0
5,13,2,0
4,17,1,0
3,9,0,0
4,13,2,1
4,8,1,0
4,9,1,0
3,4,0,0
5,20,2,0
4,14,1,0
4,4,1,0
3,6,0,0
4,13,1,0
3,11,0,0
4,7,1,0
3,7,0,0
4,3,1,0
3,5,0,0
4,8,1,0
3,10,0,0
3,5,0,0
4,6,1,0
3,3,0,0
4,10,1,0
3,2,0,0
3,3,0,0
3,11,0,0
3,4,0,0
3,17,0,0
4,8,1,0
6,48,3,0
4,27,1,0
4,10,1,0
3,21,1,1
4,9,1,0
4,19,1,0
5,7,2,0
8,35,5,0
5,14,2,0
8,25,5,0
6,22,3,0
3,3,0,0
3,2,0,0
3,23,0,0
6,11,3,0
3,15,0,0
3,1,0,0
3,1,0,0
3,13,0,0
5,22,2,0
5,36,2,0
5,32,2,0
4,9,1,0
4,22,1,0
5,12,2,0
7,53,4,0
5,31,2,0
8,71,5,0
6,20,3,0
4,21,1,0
4,20,1,0
4,12,1,0
4,36,1,0
3,6,0,0
4,11,1,0
4,22,1,0
4,9,1,0
5,22,2,0
9,53,6,0
4,16,2,1
6,25,3,0
3,1,0,0
12,101,9,0
3,7,0,0
6,34,3,0
3,1,0,0
7,16,4,0
4,3,1,0
12,108,10,1
4,7,1,0
3,5,0,0
4,17,1,0
9,56,6,0
5,28,3,1
8,39,5,0
4,13,1,0
3,2,0,0
7,37,4,0
7,22,4,0
4,11,1,0
10,76,8,1
5,26,2,0
4,11,1,0
9,60,6,0
7,75,4,0
8,24,5,0
6,12,3,0
4,12,1,0
8,50,5,0
3,10,0,0
3,1,0,0
12,105,9,0
18,96,15,0
8,32,5,0
12,108,9,0
12,56,9,0
14,98,11,0
5,27,2,0
6,23,3,0
8,26,5,0
3,2,0,0
4,20,1,0
24,127,21,0
5,29,3,1
9,45,6,0
13,100,10,0
6,49,3,0
9,46,6,0
17,132,15,1
12,78,9,0
18,198,17,2
12,114,11,2
24,213,21,0
8,42,5,0
4,15,1,0
22,149,20,1
10,59,7,0
15,134,13,1
9,40,6,0
14,75,11,0
23,176,20,0
14,118,11,0
14,89,11,0
21,179,20,2
26,154,23,0
3,3,0,0
3,2,0,0
3,1,0,0
3,4,0,0
4,10,1,0
3,5,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,3,0,0
3,1,0,0
3,6,0,0
3,7,0,0
3,4,0,0
3,9,0,0
3,5,0,0
3,9,0,0
3,5,0,0
3,2,0,0
3,2,0,0
3,2,0,0
3,5,0,0
3,2,0,0
3,4,0,0
3,2,0,0
3,1,0,0
3,4,0,0
3,1,0,0
3,4,0,0
3,4,0,0
3,7,0,0
3,3,0,0
3,4,0,0
3,4,0,0
3,6,0,0
3,8,0,0
3,4,0,0
3,1,0,0
3,3,0,0
3,5,0,0
3,4,0,0
3,2,0,0
3,6,0,0
4,2,1,0
3,3,0,0
3,3,0,0
2,6,0,1
3,1,0,0
3,3,0,0
3,3,0,0
3,2,0,0
3,1,0,0
3,11,0,0
3,14,1,1
3,15,0,0
3,6,0,0
3,7,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,4,0,0
3,6,0,0
3,11,1,1
4,4,1,0
3,3,0,0
3,2,0,0
3,37,0,0
3,2,0,0
3,2,0,0
4,3,1,0
3,1,0,0
3,5,0,0
3,5,0,0
3,2,0,0
3,2,0,0
3,4,0,0
3,6,0,0
3,4,0,0
5,31,2,0
3,2,0,0
3,4,0,0
4,5,1,0
3,4,0,0
3,12,0,0
